"id","name","cpu_usage","memory_usage","created_at","status"
1,"Mobile-applications-UI-test",0,52985856,"2020-05-19 16:23:07","Running"
2,"docker-at",0,0,"2020-03-01 01:03:08","Stopped"
3,"docker-logman-prod-env",0,763113472,"2020-06-12 16:12:45","Running"
4,"ecr-messenger-test",0,2099625984,"2020-03-13 13:17:46","Running"
5,"fastkafka-at-2006",0,76591104,"2020-06-06 19:58:39","Running"
6,"ftp-test",0,57446400,"2019-10-10 12:42:51","Running"
7,"genie-docker-test",0,632188928,"2020-05-14 14:50:00","Running"
8,"gitlab-ci-runner-test",0,86732800,"2020-06-08 12:40:16","Running"
9,"kafka-ui",0,190758912,"2020-06-24 17:03:25","Running"
10,"lmio-deploy-single-test",0,55820288,"2020-05-25 12:45:43","Running"
11,"scep-testing",0,123838464,"2020-06-09 14:51:42","Running"
12,"seacat-pki-test",0,411295744,"2020-04-16 12:07:06","Running"
13,"teskalabs-apm",0,667648,"2019-08-23 17:16:28","Running"
14,"tlbackup-server",0,27820032,"2019-08-19 12:08:31","Running"
15,"wiki-test",0,1527808,"2019-10-22 13:51:14","Running"
16,"zookeeper-ui",0,698519552,"2020-03-11 13:38:13","Running"
17,"zzz-mautic-test",0,45236224,"2019-11-21 13:16:43","Running"
