"device_id","ip"
1,"::1"
1,"127.0.0.1"
1,"fe80::42:3cff:feb4:a553"
1,"172.17.0.1"
1,"fe80::c03e:81ff:fec0:b3e4"
1,"fe80::216:3eff:fef1:d3b2"
1,"fd00:10:17:a0:216:3eff:fef1:d3b2"
1,"fd97:522f:fa6:0:216:3eff:fef1:d3b2"
1,"fd87:1cf1:9a65:0:216:3eff:fef1:d3b2"
1,"10.17.170.111"
1,"fe80::42:a3ff:fe71:46d3"
1,"172.18.0.1"
3,"fe80::74ad:37ff:feba:4c75"
3,"fe80::6cd1:8aff:fe80:2bea"
3,"fe80::42:61ff:fe2d:352a"
3,"172.18.0.1"
3,"fe80::3050:64ff:fe9a:4644"
3,"fe80::e409:ebff:fef5:7ef7"
3,"fe80::216:3eff:fef3:8cb6"
3,"fd00:10:17:a0:216:3eff:fef3:8cb6"
3,"fd97:522f:fa6:0:216:3eff:fef3:8cb6"
3,"fd87:1cf1:9a65:0:216:3eff:fef3:8cb6"
3,"10.17.168.70"
3,"fe80::40e0:cff:fef8:280c"
3,"172.17.0.1"
3,"::1"
3,"127.0.0.1"
4,"fe80::42:f5ff:fe7d:bcb1"
4,"172.17.0.1"
4,"::1"
4,"127.0.0.1"
4,"fe80::42:42ff:fe90:3795"
4,"172.18.0.1"
4,"fe80::5cff:eff:fe7c:34c1"
4,"fe80::2890:d5ff:fe92:ed3f"
4,"fe80::dc9d:3cff:fefb:6f28"
4,"fe80::216:3eff:feaa:bc35"
4,"fd00:10:17:a0:216:3eff:feaa:bc35"
4,"fd97:522f:fa6:0:216:3eff:feaa:bc35"
4,"fd87:1cf1:9a65:0:216:3eff:feaa:bc35"
4,"10.17.168.114"
4,"fe80::e4a6:61ff:fef0:e517"
4,"fe80::6037:f4ff:fe7b:68c3"
5,"::1"
5,"127.0.0.1"
5,"fe80::216:3eff:fe7d:7fc9"
5,"fd00:10:17:a0:216:3eff:fe7d:7fc9"
5,"fd00:10:17:a0:fdf9:f5e6:51bc:99ef"
5,"fd97:522f:fa6:0:216:3eff:fe7d:7fc9"
5,"fd87:1cf1:9a65:0:216:3eff:fe7d:7fc9"
5,"10.17.164.107"
6,"::1"
6,"127.0.0.1"
6,"fe80::216:3eff:fe4d:1dda"
6,"fd00:10:17:a0:216:3eff:fe4d:1dda"
6,"fd97:522f:fa6:0:216:3eff:fe4d:1dda"
6,"fd87:1cf1:9a65:0:216:3eff:fe4d:1dda"
6,"10.17.170.231"
7,"::1"
7,"127.0.0.1"
7,"fe80::42:94ff:fee9:1e49"
7,"172.17.0.1"
7,"fe80::a857:6ff:fed7:e29a"
7,"fe80::186b:83ff:fe06:cc4f"
7,"fe80::648c:57ff:fe02:ac63"
7,"fe80::e003:8cff:fea6:4730"
7,"fe80::b01d:b4ff:fec4:8f1f"
7,"fe80::18ef:6fff:fe4a:e61b"
7,"fe80::42:14ff:fea8:f6f8"
7,"172.18.0.1"
7,"fe80::c0e8:28ff:fe65:96e3"
7,"fe80::216:3eff:fec8:12b"
7,"fd00:10:17:a0:216:3eff:fec8:12b"
7,"fd97:522f:fa6:0:216:3eff:fec8:12b"
7,"fd87:1cf1:9a65:0:216:3eff:fec8:12b"
7,"10.17.161.11"
8,"fe80::a01b:72ff:fe62:5af0"
8,"fe80::216:3eff:fe22:7dcf"
8,"fd00:10:17:a0:216:3eff:fe22:7dcf"
8,"fd97:522f:fa6:0:216:3eff:fe22:7dcf"
8,"fd87:1cf1:9a65:0:216:3eff:fe22:7dcf"
8,"10.17.161.22"
8,"fe80::42:daff:fe23:46ab"
8,"172.17.0.1"
8,"::1"
8,"127.0.0.1"
9,"fe80::42:26ff:fe76:94d1"
9,"172.18.0.1"
9,"fe80::216:3eff:fe45:b27c"
9,"fd00:10:17:a0:216:3eff:fe45:b27c"
9,"fd97:522f:fa6:0:216:3eff:fe45:b27c"
9,"fd87:1cf1:9a65:0:216:3eff:fe45:b27c"
9,"10.17.164.96"
9,"::1"
9,"127.0.0.1"
9,"fe80::42:deff:fe97:f7b7"
9,"172.17.0.1"
9,"fe80::6c10:4fff:fe0f:cbca"
10,"fe80::42:70ff:fec4:a6d8"
10,"172.17.0.1"
10,"::1"
10,"127.0.0.1"
10,"fe80::42:78ff:feb7:624d"
10,"172.18.0.1"
10,"fe80::216:3eff:fe9e:1fc"
10,"fd00:10:17:a0:216:3eff:fe9e:1fc"
10,"fd97:522f:fa6:0:216:3eff:fe9e:1fc"
10,"fd87:1cf1:9a65:0:216:3eff:fe9e:1fc"
10,"10.17.166.22"
11,"fe80::216:3eff:fe02:b013"
11,"fd00:10:17:a0:216:3eff:fe02:b013"
11,"fd00:10:17:a0:21cd:463e:8e0:956"
11,"fd97:522f:fa6:0:216:3eff:fe02:b013"
11,"fd87:1cf1:9a65:0:216:3eff:fe02:b013"
11,"10.17.167.80"
11,"::1"
11,"127.0.0.1"
12,"172.20.0.1"
12,"fe80::f498:c8ff:fe32:5b1e"
12,"fe80::42:acff:fe70:7cff"
12,"172.17.0.1"
12,"::1"
12,"127.0.0.1"
12,"fe80::e8b1:3aff:fedd:dcbe"
12,"fe80::64a7:f4ff:fe9c:9209"
12,"fe80::42:52ff:fed3:5b7"
12,"172.18.0.1"
12,"172.19.0.1"
12,"fe80::216:3eff:fee1:d708"
12,"fd00:10:17:a0:216:3eff:fee1:d708"
12,"fd97:522f:fa6:0:216:3eff:fee1:d708"
12,"fd87:1cf1:9a65:0:216:3eff:fee1:d708"
12,"10.17.169.13"
12,"fe80::b4e0:e8ff:fea8:4d27"
12,"fe80::78c8:2eff:fe3a:9bde"
12,"fe80::42:c7ff:febf:23c0"
12,"172.10.5.1"
13,"fe80::216:3eff:fecb:b502"
13,"fd00:10:17:a0:216:3eff:fecb:b502"
13,"fd97:522f:fa6:0:216:3eff:fecb:b502"
13,"fd87:1cf1:9a65:0:216:3eff:fecb:b502"
13,"10.17.162.236"
13,"::1"
13,"127.0.0.1"
14,"::1"
14,"127.0.0.1"
14,"fe80::216:3eff:fec9:5224"
14,"fd00:10:17:a0:216:3eff:fec9:5224"
14,"fd97:522f:fa6:0:216:3eff:fec9:5224"
14,"fd87:1cf1:9a65:0:216:3eff:fec9:5224"
14,"10.17.165.109"
15,"fe80::216:3eff:fe4a:babb"
15,"fd00:10:17:a0:216:3eff:fe4a:babb"
15,"fd97:522f:fa6:0:216:3eff:fe4a:babb"
15,"fd87:1cf1:9a65:0:216:3eff:fe4a:babb"
15,"10.17.165.138"
15,"::1"
15,"127.0.0.1"
16,"fe80::42:5fff:fed8:ad7c"
16,"172.18.0.1"
16,"fe80::44fe:a8ff:fe4e:92cd"
16,"fe80::42:80ff:feb5:861e"
16,"172.17.0.1"
16,"::1"
16,"127.0.0.1"
16,"172.19.0.1"
16,"fe80::216:3eff:feb4:c5db"
16,"fd00:10:17:a0:216:3eff:feb4:c5db"
16,"fd97:522f:fa6:0:216:3eff:feb4:c5db"
16,"fd87:1cf1:9a65:0:216:3eff:feb4:c5db"
16,"10.17.164.94"
17,"fe80::216:3eff:feec:8db"
